|INVOICE ID  |CUSTOMER ID |PRICE         |

|INV-001     |C001        |400000              |

|INV-001     |C002        |250000              |

|INV-001     |C005        |400000              |

|INV-001     |C004        |400000              |

|INV-002     |C003        |1500000             |

|INV-002     |C002        |750000              |

|INV-002     |C012        |750000              |

|INV-002     |C009        |1500000             |

|INV-003     |C004        |2000000             |

|INV-003     |C005        |2000000             |

|INV-003     |C002        |1000000             |

|INV-003     |C001        |2000000             |

|INV-003     |C010        |1000000             |

|INV-003     |C009        |2000000             |

|INV-004     |C001        |5000000             |

|INV-004     |C010        |2500000             |

|INV-005     |C001        |400000              |

|INV-005     |C003        |400000              |

|INV-005     |C002        |250000              |

|INV-005     |C012        |250000              |

|INV-005     |C007        |400000              |

|INV-006     |C002        |1000000             |

|INV-006     |C003        |2000000             |

|INV-006     |C012        |1000000             |

|INV-007     |C003        |1500000             |

|INV-007     |C004        |1500000             |

|INV-007     |C010        |750000              |

|INV-008     |C003        |2500000             |

|INV-008     |C005        |2500000             |

|INV-008     |C009        |2500000             |

|INV-009     |C003        |1500000             |

|INV-009     |C002        |750000              |

|INV-010     |C003        |1500000             |

|INV-010     |C005        |1500000             |

|INV-010     |C002        |750000              |

|INV-011     |C001        |3000                |

|INV-011     |C002        |1200                |

|INV-012     |C001        |6000                |

|INV-012     |C002        |3000                |

|INV-013     |C004        |1512500             |

|INV-013     |C002        |1210000             |

|INV-015     |C003        |9701000             |

|INV-015     |C002        |77608000            |

|INV-016     |C003        |50825000            |

|INV-016     |C004        |50825000            |

|INV-016     |C002        |4066000             |

|INV-017     |C007        |3630000             |

|INV-017     |C006        |3630000             |

|INV-017     |C010        |3025000             |

|INV-017     |C012        |3025000             |

